item_index,item,app_present,iac_present,joint_congruent
1,DynamoDB table for messages,True,True,True
2,POST endpoint accepting a message,True,True,True
3,GET endpoint listing messages,True,True,True
4,DELETE endpoint removing a message,True,True,True
5,"Message model has name, email, body",True,True,True
