item_index,item,app_present,iac_present,joint_congruent
1,DynamoDB table for accounts and transactions,True,True,True
2,SQS queue for asynchronous accrual,True,True,True
3,Idempotency-key deduplication of purchases,True,True,True
4,SNS notification on crossing 1000 points,True,True,True
5,S3 audit log of balance changes,True,True,True
6,GET endpoint checking a balance,True,True,True
7,GET endpoint listing a customer's transactions,True,True,True
